सामवेद	सामवेद-१८७५	सामवेद ऋषि-२४४	सामवेद छन्द-५०	सामवेद देवता-५७	सामवेद स्वर-८
८२५	ओ३म् एवा रातिस्तुवीमघ विश्वेभिर्धायि धातृभि। अधा चिदिन्द्र न सचा॥८२५	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	पवमानः सोमः	षड्जः
८२६	ओ३म् मो षु ब्रह्मेव तदिन्द्रयुर्भुवो वाजानां पते। मत्स्वा सुतस्य गोमतः॥८२६	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	पवमानः सोमः	षड्जः
८३०	ओ३म् एत असृग्रमिन्दवस्तिर पवित्रमाशव। विश्वान्यभि सौभगा॥८३०	जमदग्निर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
८३१	ओ३म् विघ्नन्तो दुरिता पुरु सुगा तोकाय वाजिन। त्मना कृण्वन्तो अर्वतः॥८३१	जमदग्निर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
८३२	ओ३म् कृण्वन्तो वरिवो गवेऽभ्यर्षन्ति सुष्टुतिम्। इडामस्मभ्य संयतम्॥८३२	जमदग्निर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
८३३	ओ३म् राजा मेधाभिरीयते पवमानो मनावधि। अन्तरिक्षेण यातवे॥८३३	भृगुर्वारुणिर्जमदग्निर्भार्गवो वा	गायत्री	पवमानः सोमः	षड्जः
८३४	ओ३म् आ न सोम सहो जुवो रूपं न वर्चसे भर। सुष्वाणो देववीतये॥८३४	भृगुर्वारुणिर्जमदग्निर्भार्गवो वा	गायत्री	पवमानः सोमः	षड्जः
८३५	ओ३म् आ न इन्दो शातग्विनं गवां पोष स्वश्व्यम्। वहा भगत्तिमूतये॥८३५	भृगुर्वारुणिर्जमदग्निर्भार्गवो वा	गायत्री	पवमानः सोमः	षड्जः
८३६	ओ३म् तं त्वा नृम्णानि बिभ्रत सधस्थेषु महो दिव। चारु सुकृत्ययेमहे॥८३६	कविर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
८३७	ओ३म् संवृक्तधृष्णुमुक्थ्यं महामहिव्रतं मदम्। शतं पुरो रुरुक्षणिम्॥८३७	कविर्भार्गवः	गायत्री	पवमानः सोमः	षड्जः
