सामवेद	सामवेद-१८७५	सामवेद ऋषि-२४४	सामवेद छन्द-५०	सामवेद देवता-५७	सामवेद स्वर-८
१	ओ३म् अग्न आ याहि वीतये गृणानो हव्यदातये। नि होता सत्सि बर्हिषि॥१	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
२	ओ३म् त्वमग्ने यज्ञाना होता विश्वेषा हितः। देवेभिर्मानुषे जने॥२ 	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
३	ओ३म् अग्निं दूतं वृणीमहे होतारं विश्ववेदसम्। अस्य यज्ञस्य सुक्रतुम्॥३	मेधातिथिः काण्वः	गायत्री	अग्निः	षड्जः
४	ओ३म् अग्निर्वृत्राणि जङ्घनद्द्रविणस्युर्विपन्यया। समिद्धः शुक्र आहुतः॥४	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
५	ओ३म् प्रेष्ठं वो अतिथि स्तुषे मित्रमिव प्रियम्। अग्ने रथं न वेद्यम्॥५	उशना काव्यः	गायत्री	अग्निः	षड्जः
६	ओ३म् त्वं नो अग्ने महोभिः पाहि विश्वस्या अरातेः। उत द्विषो मर्त्यस्य॥६	सुदीतिपुरुमीढावाङ्गिरसौ तयोर्वान्यतरः	गायत्री	अग्निः	षड्जः
७	ओ३म् एह्यू षु ब्रवाणि तेऽग्न इत्थेतरा गिर। एभिर्वर्धास इन्दुभिः॥७	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
८	ओ३म् आ ते वत्सो मनो यमत्परमाच्चित्सधस्थात्। अग्ने त्वां कामये गिरा॥८	वत्सः काण्वः	गायत्री	अग्निः	षड्जः
९	ओ३म् त्वामग्ने पुष्करादध्यथर्वा निरमन्थत। मूर्ध्नो विश्वस्य वाघत॥९	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
१०	ओ३म् अग्ने विवस्वदा भरास्मभ्यमूतये महे। देवो ह्यसि नो दृशे॥१०	वामदेवः	गायत्री	अग्निः	षड्जः
११	ओ३म् नमस्ते अग्न ओजसे गृणन्ति देव कृष्टय। अमैरमित्रमर्दय॥११	आयुङ्क्ष्वाहिः	गायत्री	अग्निः	षड्जः
१२	ओ३म् दूतं वो विश्ववेदस हव्यवाहममर्त्यम्। यजिष्ठमृञ्जसे गिरा॥१२	वामदेवो गौतमः	गायत्री	अग्निः	षड्जः
१३	ओ३म् उप त्वा जामयो गिरो देदिशतीर्हविष्कृत। वायोरनीके अस्थिरन्॥१३	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
१४	ओ३म् उप त्वाग्ने दिवेदिवे दोषावस्तर्धिया वयम्। नमो भरन्त एमसि॥१४	मधुच्छन्दा वैश्वामित्रः	गायत्री	अग्निः	षड्जः
१५	ओ३म् जराबोध तद्विविड्ढि विशेविशे यज्ञियाय। स्तोम रुद्राय दृशीकम्॥१५	शुनः शेप आजीगर्तिः	गायत्री	अग्निः	षड्जः
१६	ओ३म् प्रति त्यं चारुमध्वरं गोपीथाय प्र हूयसे। मरुद्भिरग्न आ गहि॥१६	मेधातिथिः काण्वः	गायत्री	अग्निः	षड्जः
१७	ओ३म् अश्वं न त्वा वारवन्तं वन्दध्या अग्निं नमोभिः। सम्राजन्तमध्वराणाम्॥१७	शुनः शेप आजीगर्तिः	गायत्री	अग्निः	षड्जः
१८	ओ३म् और्वभृगुवच्छुचिमप्नवानवदा हुवे। अग्नि समुद्रवाससम्॥१८	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
१९	ओ३म् अग्निमिन्धानो मनसा धिय सचेत मर्त्य। अग्निमिन्धे विवस्वभिः॥१९	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
२०	ओ३म् आदित्प्रत्नस्य रेतसो ज्योत पश्यन्ति वासरम्। परो यदिध्यते दिवि॥२०	वत्सः काण्वः	गायत्री	अग्निः	षड्जः
२१	ओ३म् अग्निं वो वृधन्तमध्वराणां पुरूतमम्। अच्छा नप्त्रे सहस्वते॥२१	प्रयोगो भार्गवः	गायत्री	अग्निः	षड्जः
२२	ओ३म् अग्निस्तिग्मेन शोचिषा य सद्विश्वं न्या३त्रिणम्। अग्निर्नो वसते रयिम्॥२२	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
२३	ओ३म् अग्ने मृड महा अस्यय आ देवयुं जनम्। इयेथ बर्हिरासदम्॥२३	वामदेवो गौतमः	गायत्री	अग्निः	षड्जः
२४	ओ३म् अग्ने रक्षा णो अहस प्रति स्म देव रीषत। तपिष्ठैरजरो दह॥२४	वसिष्ठो मैत्रावरुणिः	गायत्री	अग्निः	षड्जः
२५	ओ३म् अग्ने युङ्क्ष्वा हि ये तवाश्वासो देव साधव। अरं वहन्त्याशव॥२५	भरद्वाजो बार्हस्पत्यः	गायत्री	अग्निः	षड्जः
२६	ओ३म् नि त्वा नक्ष्य विश्पते द्युमन्तं धीमहे वयम्। सुवीरमग्न आहुत॥२६	वसिष्ठो मैत्रावरुणिः	गायत्री	अग्निः	षड्जः
२७	ओ३म् अग्निर्मूर्धा दिव ककुत्पति पृथिव्या अयम्। अपा रेतासि जिन्वति॥२७	विरूप आङ्गिरसः	गायत्री	अग्निः	षड्जः
२८	ओ३म् इममू षु त्वमस्माक सनिं गायत्रं नव्यासम्। अग्ने देवेषु प्र वोचः॥२८	शुनः शेप आजीगर्तिः	गायत्री	अग्निः	षड्जः
२९	ओ३म् तं त्वा गोपवनो गिरा जनिष्ठदग्ने अङ्गरः। स पावक श्रुधी हवम्॥२९	गोपवन आत्रेयः	गायत्री	अग्निः	षड्जः
३०	ओ३म् परि वाजपतिः कविरग्निर्हव्यान्यक्रमीत्। दधद्रत्नानि दाशुषे॥३०	वामदेवो गौतमः	गायत्री	अग्निः	षड्जः
३१	ओ३म् उदु त्यं जातवेदसं देवं वहन्ति केतव। दृशे विश्वाय सूर्यम्॥३१	प्रस्कण्वः काण्वः	गायत्री	अग्निः	षड्जः
३२	ओ३म् कविमग्निमुप स्तुहि सत्यधर्माणमध्वरे। देवममीवचातनम्॥३२	मेधातिथिः काण्वः	गायत्री	अग्निः	षड्जः
३३	ओ३म् शं नो देवीरभिष्टये शं नो भवन्तु पीतये। शं योरभि स्रवन्तु नः॥३३	सिन्धुद्वीप आम्बरीषः त्रित आप्त्यो	गायत्री	अग्निः	षड्जः
३४	ओ३म् कस्य नूनं परीणसि धियो जिन्वसि सत्पते। गोषाता यस्य ते गिर॥३४	उशना काव्यः	गायत्री	अग्निः	षड्जः
७२	ओ३म् अग्निं नरो दीधितिभिररण्योर्हस्तच्युतं जनयत प्रशस्तम्। दूरेदृशं गृहपतिमथव्युम्॥७२	वसिष्ठो मैत्रावरुणिः	त्रिपाद विराड् गायत्री	अग्निः	षड्जः
११५	ओ३म् तद्वो गाय सुते सचा पुरुहूताय सत्वने। शं यद्गवे न शाकिने॥११५	शंयुर्बार्हस्पत्यः	गायत्री	इन्द्रः	षड्जः
११६	ओ३म् यस्ते नून शतक्रतविन्द्र द्युम्नितमो मद। तेन नूनं मदे मदेः॥११६ 	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
११७	ओ३म् गाव उप वदावटे महि यज्ञस्य रप्सुदा। उभा कर्णा हिरण्यया॥११७	हर्यतः प्रागाथः	गायत्री	इन्द्रः	षड्जः
११८	ओ३म् अरमश्वाय गायत श्रुतकक्षारं गवे। अरमिन्द्रस्य धाम्ने॥११८	श्रुतकक्षः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
११९	ओ३म् तमिन्द्रं वाजयामसि महे वृत्राय हन्तवे। स वृषा वृषभो भुवत्॥११९	श्रुतकक्षः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१२०	ओ३म् त्वमिन्द्र बलादधि सहसो जात ओजसः। त्व सन्वृषन्वृषेदसि॥१२०	देवजामयः इन्द्रमातरः ऋषिकाः	गायत्री	इन्द्रः	षड्जः
१२१	ओ३म् यज्ञ इन्द्रमवर्धयद्यद्भूमिं व्यवर्तयत्। चक्राण ओपशं दिवि॥१२१	गोषूक्त्यश्वसूक्तिनौ काण्वायनौ	गायत्री	इन्द्रः	षड्जः
१२२	ओ३म् यदिन्द्राहं तथा त्वमीशीय वस्व एक इत्। स्तोता मे गोसखा स्यात्॥१२२	गोषूक्त्यश्वसूक्तिनौ काण्वायनौ	गायत्री	इन्द्रः	षड्जः
१२३	ओ३म् पन्यंपन्यमित्सोतार आ धावत मद्याय। सोमं वीराय शूराय॥१२३	मेधातिथि काण्वः प्रियमेधश्चाङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१२४	ओ३म् इदं वसो सुतमन्ध पिबा सुपूर्णमुदरम्। अनाभयिन्ररिमा ते॥१२४	मेधातिथि काण्वः प्रियमेधश्चाङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१२५	ओ३म् उद्धेदभि श्रुतामघं वृषभं नर्यापसम्। अस्तारमेषि सूर्य॥१२५	सुकक्षश्रुतकक्षौ	गायत्री	इन्द्रः	षड्जः
१२६	ओ३म् यदद्य कच्च वृत्रहन्नुदगा अभि सूर्य। सर्वं तदिन्द्र ते वशे॥१२६	सुकक्षश्रुतकक्षौ	गायत्री	इन्द्रः	षड्जः
१२७	ओ३म् य आनयत्परावत सुनीती तुर्वशं यदुम्। इन्द्र स नो युवा सखा॥१२७	भारद्वाजः	गायत्री	इन्द्रः	षड्जः
१२८	ओ३म् मा न इन्द्राभ्या३दिश सूरो अक्तुष्वा यमत। त्वा युजा वनेम तत्॥१२८	श्रुतकक्षः	गायत्री	इन्द्रः	षड्जः
१२९	ओ३म् एन्द्र सानसि रयि सजित्वान सदासहम्। वर्षिष्ठमूतये भर॥१२९	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१३०	ओ३म् इन्द्रं वयं महाधन इन्द्रमर्भे हवामहे। युजं वृत्रेषु वज्रिणम्॥१३०	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१३१	ओ३म् अपिबत्कद्रुव सुतमिन्द्र सहस्रबाह्वे। तत्राददिष्ट पौस्यम्॥१३१	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
१३२	ओ३म् वयमिन्द्र त्वायवोऽभि प्र नोनुमो वृषन्। विद्धी त्वा३स्य नो वसो॥१३२	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
१३३	ओ३म् आ घा ये अग्निमिन्धते स्तृणन्ति बर्हिरानुषक्। येषामिन्द्रो युवा सखा॥१३३	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
१३४	ओ३म् भिन्धि विश्वा अप द्विष परि बाधो जही मृध। वसु स्पार्हं तदा भर॥१३४	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
१३५	ओ३म् इहेव शृण्व एषां कशा हस्तेषु यद्वदान्। नि यामं चित्रमृञ्जते॥१३५	कण्वो घौरः	गायत्री	इन्द्रः	षड्जः
१३६	ओ३म् इम उ त्वा वि चक्षते सखाय इन्द्र सोमिन। पुष्टावन्तो यथा पशुम्॥१३६	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
१३७	ओ३म् समस्य मन्यवे विशो विश्वा नमन्त कृष्टय। समुद्रायेव सिन्धवः॥१३७	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१३८	ओ३म् देवानामिदवो महत्तदा वृणीमहे वयम्। वृष्णामस्मभ्यमूतये॥१३८	कुसीदी काण्वः	गायत्री	इन्द्रः	षड्जः
१३९	ओ३म् सोमाना स्वरणं कृणुहि ब्रह्मणस्पते। कक्षीवन्तं य औशिज॥१३९	मेधातिथिः काण्वः	गायत्री	इन्द्रः	षड्जः
१४०	ओ३म् बोधन्मना इदस्तु नो वृत्रहा भूर्यासुतिः। शृणोतु शक्र आशिषम्॥१४०	श्रुतकक्षः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१४१	ओ३म् अद्य नो देव सवितः प्रजावत्सावी सौभगम्। परा दुष्वप्न्य सुव॥१४१	श्यावाश्वः आत्रेयः	गायत्री	इन्द्रः	षड्जः
१४२	ओ३म् क्वा३स्य वृषभो युवा तुविग्रीवो अनानतः। ब्रह्मा कस्त सपर्यति॥१४२	प्रगाथः काण्वः	गायत्री	इन्द्रः	षड्जः
१४३	ओ३म् उपह्वरे गिरीणा सङ्गमे च नदीनाम्। धिया विप्रो अजायत॥१४३	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१४४	ओ३म् प्र सम्राजं चर्षणीनामिन्द्र स्तोता नव्यं गीर्भि। नरं नृषाहं महिष्ठम्॥१४४	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
१४५	ओ३म् अपादु शिप्रयन्धसः सुदक्षस्य प्रहोषिण। इन्द्रोरिन्द्रो यवाशिरः॥१४५	श्रुतकक्षः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१४६	ओ३म् इमा उ त्वा पुरुवसोऽभि प्र नोनवुर्गिर। गावो वत्सं न धेनव॥१४६	मेधातिथिः काण्वः	गायत्री	इन्द्रः	षड्जः
१४७	ओ३म् अत्राह गोरमन्वत नाम त्वष्टुरपीच्यम्। इत्था चन्द्रमसो गृहे॥१४७	गोतमो राहूगणः	गायत्री	इन्द्रः	षड्जः
१४८	ओ३म् यदिन्द्रो अनयद्रितो महीरपो वृषन्तमः। तत्र पूषाभुवत्सचा॥१४८	भरद्वाजो बार्हस्पत्यः	गायत्री	इन्द्रः	षड्जः
१४९	ओ३म् गौर्धयति मरुता श्रवस्युर्माता मघोनाम्। युक्ता वह्नी रथानाम्॥१४९	बिन्दुः पूतदक्षो वा आङ्गिरसः	गायत्री	मरुतः	षड्जः
१५०	ओ३म् उप नो हरिभिः सुतं याहि मदानां पते। उप नो हरिभिः सुतम्॥१५०	श्रुतकक्षः सुकक्षो वा	गायत्री	इन्द्रः	षड्जः
१५१	ओ३म् इष्टा होत्रा असृक्षतेन्द्रं वृधन्तो अध्वरे। अच्छावभृथमोजसा॥१५१	श्रुतकक्षः सुकक्षो वा	गायत्री	इन्द्रः	षड्जः
१५२	ओ३म् अहमिद्धि पितुष्परि मेधामृतस्य जग्रह। अह सूर्य इवाजनि॥१५२	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१५३	ओ३म् रेवतीर्नः सधमाद इन्द्रे सन्तु तुविवाजाः। क्षुमन्तो याभिर्मदेम॥१५३	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	षड्जः
१५४	ओ३म् सोम पूषा च चेततुर्विश्वासा सुक्षितीनाम्। देवत्रा रथ्योर्हिता॥१५४	शुनः शेप आजीगर्तिः वामदेवो वा	गायत्री	इन्द्रः	षड्जः
१५६	ओ३म् प्र व इन्द्राय मादन हर्यश्वाय गायत। सखायः सोमपाव्ने॥१५६	वसिष्ठो मैत्रावरुणिः	गायत्री	इन्द्रः	षड्जः
१५७	ओ३म् वयमु त्वा तदिदर्था इन्द्र त्वायन्त सखायः। कण्वा उक्थेभिर्जरन्ते॥१५७	मेधातिथि काण्वः प्रियमेधश्चाङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१५८	ओ३म् इन्द्राय मद्वने सुतं परि ष्टोभन्तु नो गिर। अर्कमर्चन्तु कारव॥१५८	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१५९	ओ३म् अयं त इन्द्र सोमो निपूतो अधि बर्हिषि। एहीमस्य द्रवा पिब॥१५९	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
१६०	ओ३म् सुरूपकृत्नुमूतये सुदुघामिव गोदुहे। जुहूमसि द्यविद्यवि॥१६०	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१६१	ओ३म् अभि त्वा वृषभा सुते सुत सृजामि पीतये। तृम्पा व्यश्नुही मदम्॥१६१	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
१६२	ओ३म् य इन्द्र चमसेष्वा सोमश्चमूषु ते सुत। पिबेदस्य त्वमीशिषे॥१६२	कुसीदी काण्वः	गायत्री	इन्द्रः	षड्जः
१६३	ओ३म् योगेयोगे तवस्तरं वाजेवाजे हवामहे। सखाय इन्द्रमूतये॥१६३	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	षड्जः
१६४	ओ३म् आ त्वेता नि षीदतेन्द्रमभि प्र गायत। सखाय स्तोमवाहसः॥१६४	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१६५	ओ३म् इद ह्यन्वोजसा सुत राधानां पते। पिबा त्वा३स्य गिर्वणः॥१६५	विश्वामित्रो गाथिनः	गायत्री	इन्द्रः	षड्जः
१६६	ओ३म् महा इन्द्र पुरश्च नो महित्वमस्तु वज्रिणे। द्यौर्न प्रथिना शव॥१६६	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१६७	ओ३म् आ तू न इन्द्र क्षुमन्तं चित्रं ग्राभ सं गृभाय। महाहस्ती दक्षिणेन॥१६७	कुसीदी काण्वः	गायत्री	इन्द्रः	षड्जः
१६८	ओ३म् अभि प्र गोपतिं गिरेन्द्रमर्च यथा विदे। सूनु सत्यस्य सत्पतिम्॥१६८	प्रियमेधः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१६९	ओ३म् कया नश्चित्र आ भुवदूती सदावृध सखा। कया शचिष्ठया वृता॥१६९	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
१७०	ओ३म् त्यमु वः सत्रासाहं विश्वासु गीर्ष्वायतम्। आ च्यावयस्यूतये॥१७०	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१७१	ओ३म् सदसस्पतिमद्भुतं प्रियमिन्द्रस्य काम्यम्। सनिं मेधामयासिषम्॥१७१	मेधातिथिः काण्वः	गायत्री	इन्द्रः	षड्जः
१७२	ओ३म् ये ते पन्था अधो दिवो येभिर्व्यश्वमैरयः। उत श्रोषन्तु नो भुव॥१७२	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
१७३	ओ३म् भद्रंभद्रं न आ भरेषमूर्ज शतक्रतो। यदिन्द्र मृडयासि नः॥१७३	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१७४	ओ३म् अस्ति सोमो अय सुत पिबन्त्यस्य मरुत। उत स्वराजो अश्विना॥१७४	बिन्दुः पूतदक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१७५	ओ३म् ईङ्खयन्तीरपस्युव इन्द्रं जातमुपासते। वन्वानास सुवीर्यम्॥१७५	देवजामयः इन्द्रमातरः	गायत्री	इन्द्रः	षड्जः
१७६	ओ३म् नकि देवा इनीमसि न क्या योपयामसि। मन्त्रश्रुत्यं चरामसि॥१७६	गोधा ऋषिका	गायत्री	इन्द्रः	षड्जः
१७७	ओ३म् दोषो आगाद्बृहद्गाय द्युमद्गामन्नाथर्वण। स्तुहि देव सवितारम्॥१७७	मेधातिथिः काण्वः	गायत्री	इन्द्रः	षड्जः
१७८	ओ३म् एषो उषा अपूर्व्या व्युच्छति प्रिया दिव। स्तुषे वामश्विना बृहत्॥१७८	प्रस्कण्वः काण्वः	गायत्री	इन्द्रः	षड्जः
१७९	ओ३म् इन्द्रो दधीचो अस्थभिर्वृत्राण्यप्रतिष्कुतः। जघान नवतीर्नव॥१७९	गोतमो राहूगणः	गायत्री	इन्द्रः	षड्जः
१८०	ओ३म् इन्द्रेहि मत्स्यन्धसो विश्वेभिः सोमपर्वभिः। महा अभिष्टिरोजसा॥१८०	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१८१	ओ३म् आ तू न इन्द्र वृत्रहन्नस्माकमर्धमा गहि। महान्महीभिरूतिभि॥१८१	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
१८२	ओ३म् ओजस्तदस्य तित्विष उभे यत्समवर्तयत्। इन्द्रश्चर्मेव रोदसी॥१८२	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१८३	ओ३म् अयमु ते समतसि कपोत इव गर्भधिम्। वचस्तच्चिन्न ओहसे॥१८३	शुनः शेप आजीगर्तिः	गायत्री	इन्द्रः	षड्जः
१८४	ओ३म् वात आ वातु भेषज शम्भु मयोभु नो हृदे। प्र न आयूषि तारिषत्॥१८४	उलो वातायनः	गायत्री	इन्द्रः	षड्जः
१८५	ओ३म् य रक्षन्ति प्रचेतसो वरुणो मित्रो अर्यमा। न कि स दभ्यते जन॥१८५	कण्वो घौरः	गायत्री	इन्द्रः	षड्जः
१८६	ओ३म् गव्यो षु णो यथा पुराश्वयोत रथया। वरिवस्या महोनाम्॥१८६	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१८७	ओ३म् इमास्त इन्द्र पृश्नयो घृतं दुहत आशिरम्। एनामृतस्य पिप्युषी॥१८७	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१८८	ओ३म् अया धिया च गव्यया पुरुणामन्पुरुष्टुत। यत्सोमेसोम आभुवः॥१८८	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१८९	ओ३म् पावका न सरस्वती वाजेभिर्वाजिनीवती। यज्ञं वष्टु धियावसुः॥१८९	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१९०	ओ३म् क इमं नाहुषीष्वा इन्द्र सोमस्य तर्पयात्। स नो वसून्या भरात्॥१९०	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
१९१	ओ३म् आ याहि सुषुमा हि त इन्द्र सोमं पिबा इमम्। एदं बर्हि सदो मम॥१९१	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	षड्जः
१९२	ओ३म् महि त्रीणामवरस्तु द्युक्षं मित्रस्यार्यम्ण। दुराधर्षं वरुणस्य॥१९२	सत्यधृतिर्वारुणिः	गायत्री	इन्द्रः	षड्जः
१९३	ओ३म् त्वावतः पुरूवसो वयमिन्द्र प्रणेतः। स्मसि स्थातर्हरीणाम्॥१९३	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
१९४	ओ३म् उत्त्वा मन्दन्तु सोमा कृणुष्व राधो अद्रिवः। अव ब्रह्मद्विषो जहि॥१९४	प्रगाथः काण्वः	गायत्री	इन्द्रः	षड्जः
१९५	ओ३म् गिर्वणः पाहि न सुतं मधोर्धाराभिरज्यसे। इन्द्र त्वादातमिद्यश॥१९५	विश्वामित्रो गाथिनः	गायत्री	इन्द्रः	षड्जः
१९६	ओ३म् सदा व इन्द्रश्चर्कृषदा उपो नु स सपर्यन्। न देवो वृत शूर इन्द्र॥१९६	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
१९७	ओ३म् आ त्वा विशन्त्विन्दवः समुद्रमिव सिन्धवः। न त्वामिन्द्राति रिच्यते॥१९७	श्रुतकक्षः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
१९८	ओ३म् इन्द्रमिद्गाथिनो बृहदिन्द्रमर्केभिरर्किण। इन्द्रं वाणीरनूषत॥१९८	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
१९९	ओ३म् इन्द्र इषे ददातु न ऋभुक्षणमृभु रयिम्। वाजी ददातु वाजिनम्॥१९९	श्रुतकक्षः आङ्गिरसः	गायत्री	इन्द्रः	षड्जः
२००	ओ३म् इन्द्रो अङ्ग महद्भयमभी षदप चुच्यवत्। स हि स्थिरो विचर्षणिः॥२००	गृत्समदः शौनकः	गायत्री	इन्द्रः	षड्जः
२०१	ओ३म् इमा उ त्वा सुतेसुते नक्षन्ते गिर्वणो गिर। गावो वत्सं न धेनव॥२०१	भरद्वाजः बार्हस्पत्यः	गायत्री	इन्द्रः	षड्जः
२०२	ओ३म् इन्द्रा नु पूषणा वय सख्याय स्वस्तये। हुवेम वाजसातये॥२०२	भरद्वाजः बार्हस्पत्यः	गायत्री	इन्द्रः	षड्जः
२०३	ओ३म् न कि इन्द्र त्वदुत्तरं न ज्यायो अस्ति वृत्रहन्। न क्येवं यथा त्वम्॥२०३	वामदेवो गौतमः	गायत्री	इन्द्रः	षड्जः
२०४	ओ३म् तरणिं वो जनानां त्रदं वाजस्य गोमतः। समानमु प्र श सिषम्॥२०४	त्रिशोकः काण्वः	गायत्री	इन्द्रः	षड्जः
२०५	ओ३म् असृग्रमिन्द्र ते गिर प्रति त्वामुदहासत। सजोषा वृषभं पतिम्॥२०५	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	षड्जः
२०६	ओ३म् सुनीथो घा स मर्त्यो यं मरुतो यमर्यमा। मित्रास्पान्त्यद्रुह॥२०६	वत्सः काण्वः	गायत्री	इन्द्रः	षड्जः
